el	article	masculine singular definite article; the		
leer	verb	to read		
jugar	verb	to play		
también	adv	also, too, as well		
coche	noun	car, automobile		
aprender	verb	to learn (to acquire, or attempt to acquire knowledge or an ability to do something)		
seguir	verb	to follow		
agua	noun	water		
después	adv	later, afterwards, afterward, post		
pedir	verb	to ask for something		
desde	prep	since		
hijo	noun	son		
palabra	noun	word		
entender	verb	to understand, to fathom		
entender	noun	understanding; opinion		
cuánto	adv	how much; how many		
cuánto	det	how much; how many		
acabar	verb	to finish; to end		
ayer	adv	yesterday		
ayer	noun	yesterday		
ninguno	det	no; none		
ninguno	pron	nobody; no one		
inglés	noun	English (language)		
alguien	pron	someone, somebody		
morir	verb	to die		
madre	noun	mother		
menos	adv	less		
menos	det	less, fewer		
menos	prep	minus		
menos	noun	minus sign		
empezar	verb	to start, begin, to get started		
semana	noun	week (7 days)		
país	noun	country (the territory of a nation)		
entre	prep	between		
mirar	verb	to look at oneself		
preguntar	verb	to ask		
ciudad	noun	city		
mano	noun	hand		
cuál	pron	what (in terms of a very specific item); which, which one		
cuál	det	what; which (interrogative only)		
usar	verb	to use		
grande	adj	big, large		
aquel	det	that (over there; implying some distance)		
estudiar	verb	to study		
dormir	verb	to sleep		
oír	verb	to hear		
terminar	verb	to (cause to) finish, to (cause to) end, to (cause to) terminate, to (cause to) conclude		
escuchar	verb	to listen to, to hear out		
hermano	noun	brother		
seguro	adj	secure; safe (free from danger)		
seguro	noun	insurance (indemnity against a future occurrence)		
seguro	adv	for sure		
durante	prep	during, in, over		
lugar	noun	place		
escuela	noun	school (the followers of a particular doctrine)		
intentar	verb	to try, to attempt; especially: to strain or put forth effort in so doing		
mal	adv	badly, poorly, ill		
mal	noun	evil, harm; a bad thing or situation		
cuándo	adv	when		
buscar	verb	to seek, search for, look for, try to find, to scour		
solo	adj	sole; one; only; single (unique)		
solo	adv	only; solely; just		
nombre	noun	name		
nombre	intj	wow!		
contar	verb	to count; to tally		
gato	noun	cat (unspecified gender)		
pequeño	adj	small; little		
puerta	noun	door (portal of entry into a building)		
cambiar	verb	to change, to shift, to switch, to alter		
difícil	adj	difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing		
parte	noun	part; section; portion; share; piece; bit; cut; proportion		
feliz	adj	happy, merry (trait)		
clase	noun	lecture		
momento	noun	moment, instant		
olvidar	verb	to forget		
ganar	verb	to gain		
tratar	verb	to treat (to apply medical care)		
idea	noun	idea		
aún	adv	still, yet		
habitación	noun	room (separate part of a building)		
casi	adv	almost		
último	adj	final; last		
allí	adv	there (away from the speaker and the listener)		
idioma	noun	language		
caer	verb	to fall (to come down, to drop, to descend)		
sí	particle	yes (commonly used to respond affirmatively to a question)		
sí	noun	yes; aye, ay; approbation, acceptance		
sí	pron	himself, herself, itself, themselves, yourself, yourselves (form of se used after prepositions)		
medio	adj	half (of or related to any large proportion of a whole)		
medio	adv	half, incompletely (indicating an action interrupted or only partially done)		
medio	noun	half (any fraction with a denominator of 2)		
pasado	adj	past		
pasado	noun	past, bygones		
ojo	noun	eye		
ojo	intj	look! watch out!		
amar	verb	to love, have great affection for, care about		
pronto	adj	prompt, on time		
pronto	adv	soon, promptly, any time soon		
beber	verb	to drink		
donde	adv	where, in what place		
donde	conj	because		
donde	prep	by, near to		
donde	pron	where, in what place		
entrar	verb	to enter; to come in; to get in; to go in; to get inside; to come on in		
comida	noun	food		
carta	noun	letter (document)		
lengua	noun	tongue (organ)		
dinámica	xxx	xxx	xxx	xxx
joven	adj	young, youthful	Es una ciudad joven y dinámica.	It's a young and dynamic city.
biblioteca	noun	library	Voy a la biblioteca después de clases.	I'm going to the library after classes.
joven	noun	youth, young person, youngster	La joven trabaja en una biblioteca.	The young woman works in a library.
financiamiento	xxx	xxx	xxx	xxx
proyecto	noun	project, plan	Buscamos financiamiento para el proyecto.	We are looking for funding for the project.
mes	noun	month	Este mes empezamos un proyecto.	This month we're starting a project.
alto	adj	tall	El edificio nuevo es muy alto.	The new building is very tall.
trozo	noun	piece	Quiero un trozo más grande.	I want a bigger piece.
muro	noun	wall	Se cayó un trozo del muro.	A piece of the wall fell off.
curso	noun	course, trajectory, route, direction	El proyecto sigue en curso sin problemas.	The project is still on track without any problems.
mejorar	verb	to make better, improve	He mejorado mucho desde el curso pasado.	I've improved a lot since last semester.
relación	noun	relation	Nuestra relación mejoró después de hablar.	Our relationship improved after talking.
tenso	adj	tense, strained, taut, tensed	La relación entre ellos está tensa.	The relationship between them is tense.
cuerda	noun	rope, cord, string	La cuerda está muy tensa ahora.	The rope is very taut now.
alcanzar	verb	to reach; to attain or achieve; to catch up with	No alcanzaba la cuerda con la mano.	I couldn't reach the rope with my hand.
ponente	xxx	xxx	xxx	xxx
yo	xxx	xxx	xxx	xxx
sincero	adj	sincere	Él siempre fue muy sincero conmigo.	He was always very honest with me.
sonrisa	noun	smile	Ella tiene una sonrisa muy sincera.	She has a very sincere smile.
amable	adj	kind, amiable, gracious	Ella tiene una sonrisa amable.	She has a kind smile.
profesor	noun	professor (a faculty member)	El profesor es muy amable con todos.	The professor is very kind to everyone.
conferencia	noun	conference	El profesor dará una conferencia mañana.	The professor will give a lecture tomorrow.
invitado	adj	invited	Ella fue la ponente invitada de la conferencia.	She was the guest speaker at the conference.
historia	noun	history (the aggregate of past events)	En la escuela aprendemos historia cada semana.	At school we learn history every week.
toma	noun	conquest, capture, taking, takeover	La toma del poder cambió la historia.	The seizure of power changed history.
medicina	noun	medicine	Toma la medicina después de comer.	Take the medicine after eating.
farmacia	noun	drugstore, pharmacy	Voy a la farmacia para comprar medicinas.	I'm going to the pharmacy to buy medications.
receta	noun	prescription (a doctor's written order authorizing medicine or a treatment)	No puedo comprarlo sin receta en la farmacia.	I can't buy it without a prescription at the pharmacy.
limón	noun	lemon (fruit)	Compré un limón para la receta.	I bought a lemon for the recipe.
invitado	noun	guest, houseguest; invitee	Un invitado pidió agua con limón.	A guest asked for water with lemon.
silla	noun	chair	Necesitamos otra silla para el invitado.	We need another chair for the guest.
metro	noun	meter	Hay un metro entre las sillas.	There is one meter between the chairs.
alto	noun	height (in measurements)	El alto del muro es de tres metros.	The height of the wall is three meters.
alto	adv	up, high, highly	Por favor, habla más alto, no te escucho.	Please, speak louder, I can't hear you.
tranquilamente	xxx	xxx	xxx	xxx
naranja	adj	orange (having orange color)	Ese gato naranja duerme tranquilamente.	That orange cat sleeps peacefully.
marte	xxx	xxx	xxx	xxx
luna	noun	moon	Marte tiene dos lunas pequeñas.	Mars has two small moons.
brillante	adj	bright, brilliant, lustrous, shiny, glowing, sparkly, glittering, glossy	La luna se veía brillante esta noche.	The moon looked bright tonight.
planificación	xxx	xxx	xxx	xxx
movilidad	xxx	xxx	xxx	xxx
rutina	xxx	xxx	xxx	xxx
tranquilo	adj	calm, peaceful, tranquil, quiet	Necesitamos una tarde tranquila en casa.	We need a quiet afternoon at home.
solucionar	verb	to solve; to implement a solution	Necesitamos solucionar este problema hoy.	We need to solve this problem today.
tranquilo	intj	relax! calm down!	¡Tranquilo, ya solucionamos el problema!	Calm down, we've already solved the problem!
estudio	noun	study	Necesito un lugar de estudio tranquilo.	I need a quiet place to study.
diario	adj	daily	Sigo una rutina diaria de estudio.	I follow a daily study routine.
diario	noun	diary, journal	Escribimos en nuestros diarios cada mañana.	We write in our journals every morning.
urbano	adj	urban	La planificación urbana mejora la movilidad diaria.	Urban planning improves daily mobility.
estación	noun	station	El metro sale de esta estación.	The subway leaves from this station.
paisaje	noun	landscape (the view of an area of land)	El paisaje urbano cambia cada estación.	The urban landscape changes every season.
hermoso	adj	gorgeous, beautiful, handsome, lovely	Qué paisaje tan hermoso vimos hoy.	What a beautiful landscape we saw today.
blanco	adj	white	La casa blanca se ve hermosa.	The white house looks beautiful.
bus	noun	bus	Cambiamos de bus en la estación.	We switch buses at the station.
nocturno	adj	night	Los buses nocturnos pasan cada media hora.	The night buses run every half hour.
chopin	xxx	xxx	xxx	xxx
nocturno	noun	nocturne (composition)	Escuchamos un nocturno de Chopin en clase.	We listened to a nocturne by Chopin in class.
baño	noun	bath	Tomar un baño nocturno me ayuda a dormir mejor.	Taking a nighttime bath helps me sleep better.
pared	noun	wall, especially of a house or room	Las paredes del baño son blancas.	The bathroom walls are white.
blanco	noun	white	Me gusta el blanco para las paredes.	I like white for the walls.
perla	noun	pearl	Ella compró una perla blanca brillante.	She bought a shiny white pearl.
collar	noun	necklace	Lleva un collar de perlas hoy.	She is wearing a pearl necklace today.
brillante	noun	diamond	Ese collar lleva pequeños brillantes.	That necklace has small diamonds.
atardecer	verb	to draw towards evening, to grow late, to get dark	Ya ha atardecido y todavía trabajamos.	It's already dusk and we're still working.
camisa	noun	shirt	Esa camisa es demasiado grande.	That shirt is too big.
rojo	adj	red (colour)	La camisa roja me queda bien.	The red shirt fits me well.
rojo	noun	red (colour)	Me gusta el rojo en las paredes.	I like red on the walls.
color	noun	color / colour, hue	Me gusta el color rojo brillante.	I like the color bright red.
otoño	noun	autumn, fall	Los colores del otoño son hermosos.	The colors of autumn are beautiful.
atardecer	noun	late afternoon, sunset, dusk, evenfall, nightfall	Los atardeceres de otoño son hermosos.	Autumn sunsets are beautiful.
naranja	noun	orange (color)	Me gusta el naranja brillante en los atardeceres.	I like the bright orange in the sunsets.
su	xxx	xxx	xxx	xxx
importante	adj	important, that cares, that matters.	Es muy importante llegar a tiempo a clase.	It is very important to get to class on time.
logro	noun	attainment, achievement, accomplishment, success	Aprender a leer fue su primer logro importante.	Learning to read was their first important achievement.
fruta	noun	fruit (an end result, effect, or consequence)	Aquellos logros son la fruta de años de estudio.	Those achievements are the fruit of years of study.
puesto	noun	market stall, market stand	Compré naranjas en el puesto de frutas.	I bought oranges at the fruit stand.
requisito	xxx	xxx	xxx	xxx
cumplir	verb	to fulfil, to fulfill, to meet, to deliver (e.g., requirements, prerequisites, promise, vow)	Debes cumplir con los requisitos.	You must meet the requirements.
trabajador	adj	hard-working	Ella es trabajadora y siempre cumple.	She is hardworking and always follows through.
distracción	xxx	xxx	xxx	xxx
turno	noun	turn (chance to make a move in a game)	Pasó su turno por distracción.	They missed their turn because they were distracted.
trabajador	noun	worker	Hablaron con los trabajadores del turno nocturno.	They spoke with the night shift workers.
pie	noun	foot, base	Llegamos a pie hasta la escuela.	We walked to the school.
acuerdo	noun	agreement	Llegaron a un acuerdo después de hablar.	They reached an agreement after talking.
beneficiar	xxx	xxx	xxx	xxx
final	adj	final (conclusive, decisive)	El acuerdo final benefició a todas las partes.	The final agreement benefited all the parties.
final	noun	end (the terminal point of something in space or time)	Quiero quedarme hasta el final.	I want to stay until the end.
instrucción	noun	instruction	No entendí la instrucción final del profesor.	I didn't understand the teacher's final instruction.
puesto	adj	standing	Los trabajadores estaban puestos de pie esperando instrucciones.	The workers were standing, waiting for instructions.
llover	verb	to rain	Ayer llovió durante toda la tarde.	Yesterday it rained all afternoon.
puesto	conj	because, as, since	No saldré hoy, puesto que está lloviendo mucho.	I won't go out today, since it's raining a lot.
frontera	noun	border, frontier	Trabaja en un puesto de frontera.	They work at a border post.
cruzar	verb	to cross (including of legs)	Ellos ya han cruzado la frontera.	They have already crossed the border.
peligro	noun	peril, danger	Cruzar aquí de noche es un peligro.	Crossing here at night is dangerous.
placebo	xxx	xxx	xxx	xxx
alergia	xxx	xxx	xxx	xxx
tratamiento	noun	treatment	Estoy siguiendo un tratamiento para la alergia.	I'm undergoing treatment for allergies.
síntoma	noun	symptom (indicators and characteristics of the presence of something else)	Los síntomas mejoraron después del tratamiento.	The symptoms improved after the treatment.
efecto	noun	effect	El efecto placebo mejoró sus síntomas.	The placebo effect improved their symptoms.
claramente	adv	clearly	El profesor habló claramente durante la clase.	The professor spoke clearly during the class.
visible	adj	visible	La luna es claramente visible esta noche.	The moon is clearly visible tonight.
inmediato	adj	immediate	El efecto fue inmediato y visible.	The effect was immediate and visible.
alto	intj	halt!; stop!	Cuando veas peligro, ¡Alto de inmediato!	When you see danger, stop immediately!
sala	noun	room (a separate part of a building)	Los niños juegan en la sala.	The children play in the living room.
sofá	noun	sofa, couch	Compramos un sofá nuevo para la sala.	We bought a new sofa for the living room.
barrio	noun	neighbourhood	Vivo en un barrio tranquilo y seguro.	I live in a quiet and safe neighborhood.
cómodo	adj	comfortable	Nos sentimos cómodos en este barrio.	We feel comfortable in this neighborhood.
moderno	adj	modern	Compraron un sofá moderno y cómodo.	They bought a modern and comfortable sofa.
edificio	noun	building	El edificio es muy alto y moderno.	The building is very tall and modern.
mi	xxx	xxx	xxx	xxx
propio	adj	own (belonging to)	Necesito mi propia habitación para estudiar.	I need my own room to study.
hermana	noun	sister; female equivalent of hermano (“brother”)	Cada hermana tiene su propia habitación.	Each sister has her own room.
constancia	xxx	xxx	xxx	xxx
quien	pron	who	Quien estudia con constancia aprende más.	Whoever studies consistently learns more.
cuenta	noun	count, tally	Perdimos la cuenta de cuántas veces vino.	We lost count of how many times they came.
mosaico	xxx	xxx	xxx	xxx
formado	xxx	xxx	xxx	xxx
cuadro	noun	square (regular quadrilateral)	Los mosaicos están formados por pequeños cuadros iguales.	The mosaics are made up of small identical squares.
derecho	adj	straight; upright (perfectly horizontal or vertical; not diagonal or oblique)	El cuadro no está derecho en la pared.	The picture is not straight on the wall.
madrid	xxx	xxx	xxx	xxx
abogado	noun	lawyer, solicitor, counsel.	Mi hermano es abogado en Madrid.	My brother is a lawyer in Madrid.
derecho	noun	right (a legal, just or moral entitlement)	Tienes derecho a un abogado.	You have the right to a lawyer.
tardar	verb	to delay	¿Cuánto tardas en llegar al trabajo?	How long does it take you to get to work?
semáforo	noun	traffic light	Ese semáforo tarda demasiado en cambiar.	That traffic light takes too long to change.
derecho	adv	straight (directly; without pause, delay or detour)	Sigue derecho hasta el semáforo grande.	Go straight until the big traffic light.
menor	adj	comparative degree of pequeño: smaller	El perro es menor que el gato.	The dog is younger than the cat.
autorización	xxx	xxx	xxx	xxx
menor	noun	minor; child	El menor necesitaba autorización de sus padres.	The minor needed authorization from their parents.
proteger	verb	to protect, to defend	Ella protege a sus hermanos menores.	She protects her younger siblings.
humano	adj	human	Los derechos humanos protegen a todos.	Human rights protect everyone.
digital	xxx	xxx	xxx	xxx
comunicación	noun	communication	La comunicación digital ha cambiado nuestras relaciones.	Digital communication has changed our relationships.
humano	noun	human, human being	Un humano necesita comunicación para vivir.	A human needs communication to live.
igual	adj	equal, same	Los derechos humanos son iguales para todos.	Human rights are the same for everyone.
igual	noun	equal (a person or thing of equal status)	Ella no encuentra su igual.	She cannot find her equal.
igual	adv	in the same way; just like	Trabaja igual que su hermano.	They work just like their brother.
mueble	noun	a piece of furniture	Compramos un mueble nuevo para la sala.	We bought a new piece of furniture for the living room.
antiguo	adj	old, former, erstwhile, quondam, one-time, onetime	Compramos muebles antiguos para la sala.	We bought antique furniture for the living room.
tocar	verb	to touch	Intenté tocar el cuadro antiguo.	I tried to touch the old painting.
ahí	adv	there: used to designate a place near the listener	¿Puedes esperar ahí un momento?	Can you wait there a moment?
malo	adj	bad	La comida estaba muy mala.	The food was very bad.
prefiero	xxx	xxx	xxx	xxx
sábana	noun	sheet; bedsheet	Ellos cambian las sábanas cada semana.	They change the sheets every week.
suave	adj	smooth, soft, fluffy	Prefiero sábanas suaves para dormir mejor.	I prefer soft sheets to sleep better.
lluvia	noun	rain	La lluvia cae suavemente esta tarde.	The rain is falling gently this afternoon.
parabrisa	xxx	xxx	xxx	xxx
película	noun	film (layer)	La lluvia dejó una película de agua en el parabrisas.	The rain left a film of water on the windshield.
malo	noun	bad guy; baddie; bad boy; bad person	En la película, el malo pierde siempre.	In the movie, the bad guy always loses.
tarea	noun	task	¿Puedes ayudarme con la tarea esta tarde?	Can you help me with my homework this afternoon?
pregunta	noun	question (sentence that asks for information)	Tengo una pregunta sobre la tarea.	I have a question about the homework.
único	adj	only; single; sole	El único problema es el tiempo.	The only problem is time.
cinturón	noun	belt	Ese cinturón es demasiado grande para mí.	That belt is too big for me.
café	adj	brown	Llevo un cinturón café hoy.	I'm wearing a brown belt today.
café	noun	coffee	Pedimos dos cafés para llevar, por favor.	We ordered two coffees to go, please.
abrir	verb	to open, open up	He abierto la cuenta que necesitábamos.	I have opened the account we needed.
tren	noun	extravagance	Ellos viven siempre a todo tren.	They always live in grand style.
retraso	noun	delay	El tren llegó con retraso hoy.	The train arrived late today.
abrir	noun	the act of opening	Hubo retrasos en el abrir de las puertas.	There were delays in the opening of the doors.
junto	adj	together	Hoy estamos juntos en casa.	Today we are together at home.
junto	adv	together	Trabajamos juntos en el proyecto.	We work together on the project.
junto	prep	next to, together with, alongside (+ a)	Me quedé junto a mis amigos.	I stayed next to my friends.
resultar	verb	to result, to turn out, to end up, to prove	Si estudiamos juntos, todo resultará mejor.	If we study together, everything will turn out better.
concepto	noun	concept	Este concepto me resulta difícil de entender.	I find this concept difficult to understand.
notar	verb	to note (make a written record of and/or purposefully commit to memory)	Notemos este concepto para no olvidarlo después.	Let's take note of this concept so we don't forget it later.
comportamiento	noun	behavior	El comportamiento del niño mejoró hoy.	The child's behavior improved today.
diferencia	noun	difference	No noté diferencia en su comportamiento.	I didn't notice any difference in their behavior.
mayor	adj	comparative degree of grande: bigger	La diferencia es mayor que antes.	The difference is greater than before.
liderar	xxx	xxx	xxx	xxx
completa	xxx	xxx	xxx	xxx
durar	verb	to last	La película dura dos horas completas.	The movie runs a full two hours.
operación	noun	operation (a surgical procedure)	La operación duró tres horas y salió muy bien.	The operation lasted three hours and went very well.
mayor	noun	major (military rank)	El mayor lideró la operación nocturna.	The major led the night operation.
rápido	adj	rapid, quick, fast	El coche nuevo es muy rápido.	The new car is very fast.
rápido	adv	rapidly, quickly, fast	Habla rápido para terminar antes.	Speak quickly to finish sooner.
confianza	noun	confidence, trust	Su sonrisa me dio confianza inmediata.	Their smile gave me immediate confidence.
rápido	noun	rapid (part of a river)	Un rápido suave nos dio confianza.	A gentle rapid gave us confidence.
retrasar	verb	to delay, to set back, to slow down, to postpone, to retard, to hold up, to put back	No quiero retrasar más el proyecto.	I don't want to delay the project any further.
mientras	adv	meanwhile	El tren se retrasa; mientras tanto, leemos un libro.	The train is delayed; meanwhile, we read a book.
pentar	xxx	xxx	xxx	xxx
abuela	noun	grandmother, female equivalent of abuelo	Sus abuelas cuentan historias por la noche.	Their grandmothers tell stories at night.
fotografía	noun	photograph	Esta fotografía antigua es de mi abuela.	This old photograph is of my grandmother.
marco	noun	frame	Compramos un marco nuevo para la fotografía.	We bought a new frame for the photograph.
ventana	noun	window	Pinté la ventana ayer.	I painted the window yesterday.
cocina	noun	kitchen	La cocina tiene una ventana grande.	The kitchen has a large window.
mientras	conj	while, whilst, as (at the same time as)	Yo leo mientras tú cocinas.	I read while you cook.
soler	verb	to be accustomed to doing something, to do something on a regular basis, to do something usually or often	Ella suele leer antes de dormir.	She usually reads before going to sleep.
correr	verb	to run, to jog	Mañana correremos antes del trabajo.	Tomorrow we will run before work.
correr	noun	course, passing (of time)	Con el correr del tiempo, aprendimos a escucharnos.	Over time, we learned to listen to each other.
largo	adj	long, lengthy, extended, prolonged, protracted, (having great duration)	La película fue demasiado larga para los niños.	The movie was too long for the children.
puse	xxx	xxx	xxx	xxx
mesa	noun	table	Puse los libros sobre la mesa.	I put the books on the table.
ofender	verb	to offend	No quise ofender a nadie.	I didn't mean to offend anyone.
medir	verb	to measure	Siempre mido mis palabras para no ofender.	I always weigh my words so as not to offend.
largo	noun	length	El largo de la mesa es de dos metros.	The length of the table is two meters.
largo	intj	get out!, scram!	¡Largo de aquí ahora mismo!	Get out of here right now!
sento	xxx	xxx	xxx	xxx
miedo	noun	fear	Siento mucho miedo antes de hablar.	I feel very afraid before speaking.
lealtad	xxx	xxx	xxx	xxx
amor	noun	love	Buscaba amor sincero y lealtad.	I was looking for sincere love and loyalty.
error	noun	error	Aprender de los errores mejora mucho.	Learning from mistakes helps a lot.
chiste	noun	joke (told joke)	No entendí el chiste del final de la película.	I didn't understand the joke at the end of the movie.
gracia	noun	grace, charm	Ese chiste no tiene gracia ninguna.	That joke isn't funny at all.
cinco	num	five	Tengo cinco libros en casa.	I have five books at home.
número	noun	number	Este número es mayor que aquel.	This number is greater than that one.
cinco	noun	a five	El último número era un cinco.	The last number was a five.
salud	noun	health	La salud es muy importante para todos.	Health is very important for everyone.
estornuir	xxx	xxx	xxx	xxx
salud	intj	bless you (said to somebody who has sneezed)	Cuando estornudes otra vez, diré: ¡Salud!	When you sneeze again, I'll say: Bless you!
sistema	noun	system	Los sistemas de salud deben mejorar.	Health systems must improve.
viejo	adj	old (former, previous)	Cambiaron el viejo sistema por uno digital.	They replaced the old system with a digital one.
interesante	adj	interesting	Me hicieron una pregunta interesante hoy.	They asked me an interesting question today.
viejo	noun	an old person	Los viejos cuentan historias interesantes por la tarde.	The elderly tell interesting stories in the afternoon.
fiesta	noun	party	Hoy tenemos una fiesta en casa.	Today we have a party at home.
fácil	adj	easy, facile, simple (requiring little effort)	Las instrucciones son fáciles de entender para todos.	The instructions are easy to understand for everyone.
realmente	adv	really, actually, genuinely	¿Realmente entiendes lo que pasó?	Do you really understand what happened?
oficina	noun	office (a room used for non-manual work)	Su oficina tiene una ventana grande.	Their office has a large window.
reunión	noun	meeting, session, appointment	Mañana tengo una reunión importante en la oficina.	Tomorrow I have an important meeting at the office.
corto	adj	short (having little duration)	La reunión fue muy corta hoy.	The meeting was very short today.
frase	noun	phrase	La frase es muy corta.	The sentence is very short.
pagar	verb	to pay	Que él pague lo que debe.	Let him pay what he owes.
lavo	xxx	xxx	xxx	xxx
vaso	noun	drinking glass	Después de comer, lavo los vasos.	After eating, I wash the glasses.
ansioso	adj	anxious	Estoy ansioso por empezar el curso.	I'm eager to start the course.
aspirar	verb	to inhale	Si estás ansioso, aspira y cuenta hasta cinco.	If you're anxious, inhale and count to five.
